unit_price,avg_comp_price,price_premium,price_vs_comp1,price_vs_comp2,price_vs_comp3,is_anomaly
149.9,122.35559004666668,1.2251177076815847,13.75714290000002,0.0,68.87608696000001,False
149.9,117.16324785666666,1.2794114429414105,28.976923100000008,0.0,69.23333333000001,False
149.9,116.23333333333333,1.289647261256094,30.900000000000006,0.0,70.10000000000001,False
149.9,114.43038459999998,1.3099667586016313,35.4088462,0.0,71.0,False
149.9,115.92999999999999,1.293021650996291,29.91000000000001,0.0,72.0,False
149.9,115.92999999999999,1.293021650996291,29.91000000000001,0.0,72.0,False
61.99,57.656666666666666,1.0751575417702492,38.0,-27.999999999999993,3.0,False
61.99,55.57333333333333,1.1154630518234165,38.0,-21.749999999999993,3.0,False
64.99,67.99,0.9558758640976615,0.0,-15.0,5.999999999999993,False
64.99,54.32333333333333,1.1963551573909308,41.0,-15.0,5.999999999999993,False
66.99,54.32333333333333,1.2331717494017302,43.0,-13.0,7.999999999999993,False
